SENS_AOA=0.00094325006561869
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
90, 5.952645726844666e-03, -1.329399570354489e-01, 2.538379521138339e-01, 4.416187105361038e-01, -3.188061300692348e-02, 1.789999939500000e-02, -2.217997467860534e-02
91, 8.598184149518694e-03, -1.877289675847064e-01, 3.458872815716350e-01, 4.467135009200610e-01, -4.519111131290673e-02, 1.394999958600000e-02, -1.977249389655259e-02
92, 1.232191076017146e-02, -2.468571188328026e-01, 4.504539747010476e-01, 4.407024248425717e-01, -5.925845982205845e-02, 1.049000024800000e-02, -1.730937916335002e-02
93, 1.543380004279333e-02, -3.080016682580561e-01, 5.648336021615121e-01, 4.180058556921988e-01, -7.380188683702656e-02, 7.519999985000000e-03, -1.479134435020494e-02
94, 1.570219896814663e-02, -3.694941243193057e-01, 6.874227075992515e-01, 3.713857351555560e-01, -8.793153159180522e-02, 5.040000193000000e-03, -1.221825297278395e-02
95, 1.613754830563049e-02, -4.237645011508413e-01, 8.073469777187854e-01, 2.934084822049454e-01, -1.007053765134822e-01, 3.049999941000000e-03, -9.588074322598693e-03
96, 1.321040929386101e-02, -4.669257019413607e-01, 9.126274956059329e-01, 1.791987594057885e-01, -1.097042501201268e-01, 1.560000004000000e-03, -6.915046208544118e-03
97, 3.414453019409477e-02, -4.941904860608606e-01, 9.820403871112118e-01, 4.474737086201737e-02, -1.114259791314053e-01, 5.600000150000000e-04, -4.176769584459650e-03
98, 1.616609825866239e-02, -4.905051555172058e-01, 1.008188886178660e+00, -9.680557687477184e-02, -1.084164980779655e-01, 5.999999800000000e-05, -1.377394304063523e-03
99, -1.001305306265768e-02, -4.633632135162174e-01, 9.930011909393064e-01, -1.901184530804588e-01, -1.049984994914074e-01, 0.000000000000000e+00, 0.000000000000000e+00
100, 5.391640298696728e-02, -4.267551816112449e-01, 9.381571840263612e-01, -2.797923911919280e-01, -9.852020073586404e-02, 5.999999800000000e-05, 1.262517756858623e-03
101, 7.484085224768207e-02, -3.441442147445135e-01, 8.203192997437442e-01, -4.433408191769787e-01, -7.566261771173872e-02, 5.600000150000000e-04, 3.623497172730628e-03
102, 5.364861694749815e-02, -2.108781429365615e-01, 6.057167933498742e-01, -5.908872932817674e-01, -4.246465546780351e-02, 1.560000004000000e-03, 5.791810926704821e-03
103, 4.553316355336511e-02, -6.780827053477975e-02, 3.827049090505291e-01, -6.528165237846791e-01, -8.997248895344269e-03, 3.049999941000000e-03, 7.819416879873080e-03
104, 2.452060522348570e-02, 6.174145361997773e-02, 1.795025440032734e-01, -6.532618201637225e-01, 2.096931759255742e-02, 5.040000193000000e-03, 9.751182058376551e-03
105, 2.008629610906440e-02, 1.707419807462393e-01, 1.440736652825184e-02, -6.204290493484825e-01, 4.592790066340120e-02, 7.519999985000000e-03, 1.159437569993118e-02
106, 2.165946551263821e-02, 2.598433680520109e-01, -1.144736086558709e-01, -5.747758602028608e-01, 6.671132382598817e-02, 1.049000024800000e-02, 1.336346094998922e-02
107, 5.328477032305537e-04, 3.233301670398529e-01, -2.072085182459320e-01, -5.221010560580619e-01, 8.158781594077735e-02, 1.394999958600000e-02, 1.506837016071876e-02
108, -3.575092501471355e-02, 3.493293810232541e-01, -2.574625257937112e-01, -4.622240427438798e-01, 8.785367689135098e-02, 1.789999939500000e-02, 1.671640142655629e-02
109, -4.658688035760355e-02, 3.461055810664907e-01, -2.746752227321267e-01, -4.021551757337567e-01, 8.703163948474057e-02, 2.232000045500000e-02, 1.830640027239828e-02
110, -1.296906011295763e-02, 3.440305635124397e-01, -2.873171804475153e-01, -3.536783505467302e-01, 8.641281480842018e-02, 2.723000012300000e-02, 1.985102107355313e-02
111, 3.978867402031706e-02, 3.675568432833664e-01, -3.190910049954639e-01, -3.213988848530442e-01, 9.194043887458873e-02, 3.260000050100000e-02, 2.134532493980058e-02
112, 7.312844437083994e-02, 4.155162444339939e-01, -3.708509740002187e-01, -3.002704887703669e-01, 1.036534084485033e-01, 3.844000026600000e-02, 2.279647575423151e-02
113, 7.202220468265806e-02, 4.684437493418904e-01, -4.260160426416701e-01, -2.823596292821912e-01, 1.168875310139228e-01, 4.473999887700000e-02, 2.420520325656832e-02
114, 4.942540338640788e-02, 5.086247960973920e-01, -4.686634916273540e-01, -2.631934426702624e-01, 1.271900871634368e-01, 5.149000138000000e-02, 2.557230742352612e-02
115, 2.397218937393805e-02, 5.305246123251892e-01, -4.935986301170480e-01, -2.425232465648756e-01, 1.329899210319945e-01, 5.869000032500000e-02, 2.690031122156163e-02
116, 4.792511212436720e-03, 5.373798712864984e-01, -5.037443498662095e-01, -2.217579243998044e-01, 1.349714235317466e-01, 6.633000075800000e-02, 2.818944784630250e-02
117, -7.711437890079927e-03, 5.344499838688154e-01, -5.040483336017896e-01, -2.019951702671365e-01, 1.344157189028658e-01, 7.440000027400000e-02, 2.943994427346162e-02
118, -1.592765783000798e-02, 5.257808889214809e-01, -4.983754572936573e-01, -1.837379747897221e-01, 1.323348306903342e-01, 8.290000259900000e-02, 3.065335937120255e-02
